text,label
"Scientists confirm new renewable energy breakthrough after decade of research.",0
"BREAKING: Celebrity secretly controls the weather using hidden government tech!",1
"The city council approved funding for public transit improvements next quarter.",0
"You won't believe what this one trick does to your brain — doctors hate it!",1
"Local hospital opens expanded emergency department to serve rural communities.",0
"SHOCKING: Vaccines contain microchips that track your every move online!",1
"University researchers publish peer-reviewed study on climate adaptation.",0
"Aliens landed in Nebraska last night and officials are covering it up!",1
"The national budget allocates resources for education and infrastructure.",0
"Exclusive: Eating this fruit daily cures all diseases instantly!",1
"Stock markets reacted calmly to the central bank's latest policy statement.",0
"Government bans all coffee tomorrow — share before they delete this!",1
"Engineers tested a prototype bridge design that improves earthquake resilience.",0
"Secret document proves the moon landing was filmed in a Hollywood basement!",1
"Trade officials signed a bilateral agreement to reduce export tariffs.",0
